title,name,sellingPrice,listingPrice,typeOfBook,printLength,publicationDate,rating,reviews,availability
"Data Analytics for Process Engineers: Prediction, Control and Optimization (Synthesis Lectures on Mechanical Engineering)","Daniela Galatro 
(Author),",£34.29,,Hardcover – 3 Dec. 2023,Print length      154 pages,Publication date      3 Dec. 2023,Previous slide of product details,,Only 2 left in stock (more on the way).
DATA SCIENCE AND PYTHON SCIKIT FOR BEGINNERS: UNLOCKING THE SECRETS OF DATA SCIENCE: STEP-BY-STEP INSTRUCTIONS FOR ASPIRING DATA SCIENTISTS - 2 BOOKS IN 1,"JP PARKER 
(Author)",,,Kindle Edition,,Publication date      9 July 2024,Previous slide of product details,,Out of stock
People and Data: Uniting to Transform Your Business,"Thomas C. Redman 
(Author)",£24.99,RRP: £29.99,Paperback – 3 July 2023,Print length      264 pages,Publication date      3 July 2023,4.7 out of 5 stars,15 ratings,In stock
Data Governance Success: Growing and Sustaining Data Governance,"Rupa Mahanti 
(Author)",£44.99,,Paperback – 15 Dec. 2022,Print length      247 pages,Publication date      15 Dec. 2022,Previous slide of product details,,In stock
"Trust.: Responsible AI, Innovation, Privacy and Data Leadership","Dominique Shelton  Leipzig 
(Author)",,,Kindle Edition,,Publication date      26 Dec. 2023,4.6 out of 5 stars,52 ratings,Out of stock
Python for Data Science For Dummies (For Dummies (Computer/tech)),"John Paul Mueller 
(Author),",£19.15,RRP: £26.99,Paperback – 6 Nov. 2023,Print length      464 pages,Publication date      6 Nov. 2023,4.7 out of 5 stars,4 ratings,In stock
King Charles III England Coast Path Planner and Data Book: The South West Coast (Includes the entire South West Coast Path),"Christine Saul 
(Author)",,,[Print Replica] Kindle Edition,,Publication date      6 Jun. 2024,Previous slide of product details,,Out of stock
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL","Roberto Zagni 
(Author)",£37.99,,Paperback – 30 Jun. 2023,Print length      578 pages,Publication date      30 Jun. 2023,4.6 out of 5 stars,7 ratings,In stock
AI & The Data Revolution: How Teams can Harness Disruption to Conquer Turmoil,"Laura Madsen 
(Author)",£34.99,RRP: £39.99,Paperback – 1 July 2024,Print length      209 pages,Publication date      1 July 2024,5.0 out of 5 stars,3 ratings,In stock
The Unified Star Schema: An Agile and Resilient Approach to Data Warehouse and Analytics Design,"Bill Inmon 
(Author),",£44.05,RRP: £44.99,Paperback – 12 Oct. 2020,Print length      294 pages,Publication date      12 Oct. 2020,4.3 out of 5 stars,60 ratings,In stock
"Excel: Comprehensive Resource with Formulas, Functions, Examples, Secrets, Illustrations, Practical Tips, and Versatile Templates for All Users","Taylor Grant 
(Author)",£4.87,,Paperback – 7 July 2024,Print length      207 pages,Publication date      7 July 2024,5.0 out of 5 stars,17 ratings,In stock
Fundamentals of Data Observability: Implement Trustworthy End-To-End Data Solutions,"Andy Petrella 
(Author)",£38.06,RRP: £52.99,Paperback – 19 Sept. 2023,Print length      264 pages,Publication date      19 Sept. 2023,4.0 out of 5 stars,3 ratings,Only 3 left in stock.
Text as Data: A New Framework for Machine Learning and the Social Sciences,"Justin Grimmer 
(Author),",£29.63,RRP: £38.00,Paperback – 29 Mar. 2022,Print length      360 pages,Publication date      29 Mar. 2022,4.4 out of 5 stars,38 ratings,Only 2 left in stock (more on the way).
"Data-Driven Sales: Learn how B2B sales leaders at HubSpot, Salesloft, and other top companies use data to grow faster","Clearbit 
(Author),",£14.38,,Paperback – 25 April 2018,Print length      148 pages,Publication date      25 April 2018,3.9 out of 5 stars,14 ratings,In stock
Analysing Data For Your PhD: An Introduction (PhD Guides Book 3),"Helen Kara 
(Author)",,,Kindle Edition,,Publication date      21 Feb. 2023,Previous slide of product details,,Out of stock
Creating a Data–Driven Organization: Practical Advice from the Trenches,"Carl Anderson 
(Author)",£24.69,RRP: £31.99,Paperback – 4 Aug. 2015,Print length      302 pages,Publication date      4 Aug. 2015,4.3 out of 5 stars,127 ratings,In stock
Python for Data Science For Dummies (For Dummies (Computer/tech)),"John Paul Mueller 
(Author),",£19.15,RRP: £26.99,Paperback – 6 Nov. 2023,Print length      464 pages,Publication date      6 Nov. 2023,4.7 out of 5 stars,4 ratings,In stock
A Little Guide for Teachers: Using Student Data,"Richard Selfridge 
(Author)",£10.99,,Paperback – 26 Jun. 2024,Print length      88 pages,Publication date      26 Jun. 2024,Previous slide of product details,,In stock
50 Page Accident/Injury Report Book A4 Complies with Data Protection Act 1998,,£7.85,Was: £8.34,,,,5.0 out of 5 stars,2 ratings,Only 14 left in stock.
Data Protection Act 2018: Full Printed Statute,"Westminster Legal Publishing 
(Author)",£9.99,,Paperback – 23 May 2018,Print length      352 pages,Publication date      23 May 2018,4.8 out of 5 stars,8 ratings,In stock
People and Data: Uniting to Transform Your Business,"Thomas C. Redman 
(Author)",£24.99,RRP: £29.99,Paperback – 3 July 2023,Print length      264 pages,Publication date      3 July 2023,4.7 out of 5 stars,15 ratings,In stock
DATA SCIENCE AND PYTHON SCIKIT FOR BEGINNERS: UNLOCKING THE SECRETS OF DATA SCIENCE: STEP-BY-STEP INSTRUCTIONS FOR ASPIRING DATA SCIENTISTS - 2 BOOKS IN 1,"JP PARKER 
(Author)",,,Kindle Edition,,Publication date      9 July 2024,Previous slide of product details,,Out of stock
Pat Testing Log Book: Record More than 2000 Entries| Large Print UK Edition| Electrical Appliances Safety Certificate | Portable Appliance Testing ... | Equipment for PAT Tester | 100 Pages,"Data Pro Publishing 
(Author)",£5.99,,Paperback – 19 May 2021,Print length      106 pages,Publication date      19 May 2021,4.6 out of 5 stars,68 ratings,In stock
Data Center for Beginners: A beginner's guide towards understanding Data Center Design: 1 (Data Center Design Guide),"B.A. Ayomaya 
(Author)",£8.89,,Paperback – 31 Mar. 2020,Print length      60 pages,Publication date      31 Mar. 2020,4.0 out of 5 stars,141 ratings,In stock
